,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
28,0.1225,27.0,2016-03-23,2016-02-25,0.0,50etf_1604_c_2.1,-1.0,302870.2,10000.0,0.0286,22594.0,-74204.8738,79.0
29,0.094,27.0,2016-03-23,2016-02-25,0.0,50etf_1604_c_2.15,-1.0,388018.2,10000.0,0.0207,22563.0,-79922.0046,109.0
30,0.0536,29.0,2016-04-21,2016-03-23,0.0,50etf_1604_c_2.1,-1.0,83041.2,10000.0,0.1225,33075.0,18593.490599999997,27.0
31,0.019,29.0,2016-04-21,2016-03-23,0.0,50etf_1604_c_2.15,-1.0,96516.00000000007,10000.0,0.094,32900.0,26242.089999999997,35.0
32,0.0201,29.0,2016-04-21,2016-03-23,0.0,50etf_1606_c_2.35,1.0,0.0,10000.0,0.0607,32778.0,-21932.7264,54.0
33,0.1259,29.0,2016-04-21,2016-03-23,0.0,50etf_1606_c_2.05,1.0,0.0,10000.0,0.1835,33030.0,-10379.138399999996,18.0
34,0.04,29.0,2016-04-21,2016-03-23,0.0,50etf_1606_c_2.25,1.0,0.0,10000.0,0.0936,32760.000000000004,-18769.352,35.0
35,0.1015,29.0,2016-04-21,2016-03-23,0.0,50etf_1609_c_2.2,1.0,0.0,10000.0,0.1574,33054.0,-11749.873800000001,21.0
36,0.0697,29.0,2016-04-21,2016-03-23,0.0,50etf_1609_c_2.3,1.0,0.0,10000.0,0.1155,32340.0,-12834.371200000001,28.0
37,0.0041,29.0,2016-04-21,2016-03-23,0.0,50etf_1604_c_2.2,-1.0,95561.99999999997,10000.0,0.0723,32535.000000000004,30683.124000000003,45.0
38,0.0003,29.0,2016-04-21,2016-03-23,0.0,50etf_1604_c_2.3,-1.0,122358.60000000003,10000.0,0.0404,32723.999999999996,32474.4066,81.0
39,0.0005,29.0,2016-04-21,2016-03-23,0.0,50etf_1604_c_2.25,-1.0,94776.00000000007,10000.0,0.055,33000.0,32693.34,60.0
